Site,Group,Taxa,Cover,Notes
34,Coral,Porites_massive,85,
34,Coral,Montipora,10,
34,Macroalgae,Turbinaria,40,
34,Macroalgae,Amansia,25,
34,Macroalgae,Dictyota,25,
34,Macroalgae,Halimeda,10,
35,Coral,Porites_rus,40,
35,Coral,Porites_massive,40,
35,Coral,Montipora,15,
35,Macroalgae,Turbinaria,40,
35,Macroalgae,Halimeda,30,
35,Macroalgae,Dictyota,20,
35,Macroalgae,Amansia,10,
36,Coral,Porites_massive,95,
36,Coral,Millepora,3,
36,Macroalgae,Turbinaria,50,
36,Macroalgae,Halimeda,40,
36,Macroalgae,Dictyota,5,
36,Macroalgae,Padina,5,
37,Coral,Porites_massive,80,
37,Coral,Montipora,10,
37,Coral,Pocillopora,5,
37,Macroalgae,Halimeda,55,
37,Macroalgae,Turbinaria,30,
37,Macroalgae,Amansia,10,
37,Macroalgae,Dictyota,5,
38,Coral,Porites_massive,95,
38,Coral,Montipora,3,
38,Coral,Pocillopora,2,
38,Macroalgae,Dictyota,55,
38,Macroalgae,Halimeda,20,
38,Macroalgae,Turbinaria,20,
38,Macroalgae,Padina,5,
39,Coral,Porites_massive,60,
39,Coral,Millepora,30,
39,Coral,Montipora,5,
39,Macroalgae,Turbinaria,75,
39,Macroalgae,Dictyota,25,
40,Coral,Porites_massive,65,
40,Coral,Montipora,20,
40,Coral,Millepora,10,
40,Coral,Pocillopora,5,
40,Macroalgae,Turbinaria,85,
40,Macroalgae,Halimeda,15,
41,Coral,Porites_massive,65,
41,Coral,Montipora,30,
41,Coral,Pocillopora,2,
41,Macroalgae,Turbinaria,90,
41,Macroalgae,Dictyota,5,
41,Macroalgae,Halimeda,5,
42,Coral,Porites_massive,95,
42,Coral,Montipora,5,
42,Macroalgae,Turbinaria,55,
42,Macroalgae,Dictyota,35,
42,Macroalgae,Halimeda,10,
67,Coral,Porites_massive,40,
67,Coral,Porites_rus,40,
67,Coral,Montipora,20,
67,Macroalgae,Dictyota,70,
67,Macroalgae,Halimeda,20,
67,Macroalgae,Padina,10,
70,Coral,Acropora_pulchra,80,
70,Coral,Montipora,5,
70,Coral,Porites_massive,15,
70,Macroalgae,Dictyota,70,
70,Macroalgae,Turbinaria,20,
70,Macroalgae,Halimeda,10,
71,Coral,Porites_massive,70,
71,Coral,Montipora,25,
71,Coral,Pocillopora,2,
71,Macroalgae,Dictyota,60,
71,Macroalgae,Turbinaria,30,
71,Macroalgae,Halimeda,10,
74,Coral,Porites_massive,60,
74,Coral,Montipora,35,
74,Coral,Pocillopora,2,
74,Macroalgae,Dictyota,70,
74,Macroalgae,Turbinaria,20,
74,Macroalgae,Halimeda,10,
75,Coral,Porites_rus,35,
75,Coral,Acropora_pulchra,25,
75,Coral,Porites_massive,25,
75,Coral,Montipora,10,
75,Coral,Acropora_cytherea,3,
75,Macroalgae,Dictyota,60,
75,Macroalgae,Turbinaria,40,
76,Coral,Acropora_pulchra,95,
76,Coral,Montipora,4,
76,Coral,Pocillopora,1,
76,Macroalgae,Dictyota,80,
76,Macroalgae,Halimeda,20,
77,Coral,Porites_massive,65,
77,Coral,Montipora,30,
77,Coral,Porites_rus,3,
77,Coral,Pocillopora,2,
77,Macroalgae,Dictyota,80,
77,Macroalgae,Turbinaria,20,
78,Coral,Porites_massive,55,
78,Coral,Montipora,30,
78,Coral,Acropora_pulchra,10,
78,Coral,Pocillopora,2,
78,Macroalgae,Turbinaria,40,
78,Macroalgae,Dictyota,60,
80,Coral,Porites_massive,10,
80,Coral,Pocillopora_acuta,80,
80,Coral,Montipora,10,
80,Macroalgae,Turbinaria,30,
80,Macroalgae,Dictyota,65,
80,Macroalgae,Padina,5,
81,Coral,Porites_massive,80,
81,Coral,Montipora,20,
81,Macroalgae,Turbinaria,99,
81,Macroalgae,Halimeda,1,
82,Coral,Porites_massive,80,
82,Coral,Porites_rus,5,
82,Coral,Pocillopora,5,
82,Coral,Montipora,10,
82,Macroalgae,Turbinaria,93,
82,Macroalgae,Dictyota,3,
82,Soft_coral,Soft_coral,5,
83,Coral,Porites_massive,55,
83,Coral,Pocillopora,30,
83,Coral,Montipora,15,
83,Macroalgae,Turbinaria,95,
83,Macroalgae,Dictyota,4,
83,Macroalgae,Halimeda,1,
84,Coral,Porites_massive,65,
84,Coral,Montipora,20,
84,Coral,Pocillopora,15,
84,Macroalgae,Turbinaria,95,
84,Macroalgae,Halimeda,1,
84,Macroalgae,Dictyota,4,
85,Coral,Porites_massive,60,
85,Coral,Porites_branching,5,
85,Coral,Montipora,30,
85,Coral,Pocillopora,5,
85,Macroalgae,Turbinaria,85,
85,Macroalgae,Dictyota,10,
85,Macroalgae,Halimeda,5,
86,Coral,Montipora,80,
86,Coral,Porites_rus,5,
86,Coral,Pavona,5,
86,Coral,Pocillopora,3,
86,Coral,Acropora,7,
86,Macroalgae,Turbinaria,40,
86,Macroalgae,Dictyota,60,
87,Coral,Montipora,70,
87,Coral,Porites_rus,10,
87,Coral,Pocillopora_acuta,10,
87,Coral,Pavona,10,
87,Macroalgae,Dictyota,95,
87,Macroalgae,Halimeda,4,
87,Macroalgae,Turbinaria,1,
89,Coral,Montipora,60,
89,Coral,Pavona,5,
89,Coral,Acropora,5,
89,Coral,Porites_rus,5,
89,Coral,Porites_massive,20,
89,Coral,Pocillopora,2,
89,Macroalgae,Dictyota,75,
89,Macroalgae,Halimeda,5,
89,Macroalgae,Turbinaria,20,
90,Coral,Montipora,70,
90,Coral,Porites_massive,25,
90,Coral,Pocillopora,2,
90,Macroalgae,Turbinaria,30,
90,Macroalgae,Dictyota,40,
90,Macroalgae,Halimeda,30,
91,Coral,Porites_massive,60,
91,Coral,Montipora,25,
91,Coral,Porites_rus,2,
91,Coral,Pocillopora,10,
91,Macroalgae,Turbinaria,5,
91,Macroalgae,Dictyota,50,
91,Macroalgae,Halimeda,45,
92,Coral,Porites_massive,50,
92,Coral,Montipora,35,
92,Coral,Pocillopora,10,
92,Coral,Acropora,5,
92,Macroalgae,Turbinaria,20,
92,Macroalgae,Halimeda,30,
92,Macroalgae,Dictyota,50,
93,Coral,Pocillopora_acuta,15,
93,Coral,Montipora,30,
93,Coral,Porites_rus,40,
93,Coral,Porites_massive,10,
93,Coral,Pavona,2,
93,Macroalgae,Turbinaria,20,
93,Macroalgae,Dictyota,50,
93,Macroalgae,Halimeda,15,
93,Macroalgae,Padina,10,
94,Coral,Porites_rus,10,
94,Coral,Pavona,10,
94,Coral,Montipora,50,
94,Coral,Porites_massive,30,
94,Macroalgae,Dictyota,40,
94,Macroalgae,Turbinaria,30,
94,Macroalgae,Halimeda,30,
95,Coral,Porites_massive,50,
95,Coral,Montipora,40,
95,Coral,Pocillopora,10,
95,Macroalgae,Dictyota,30,
95,Macroalgae,Halimeda,60,
95,Macroalgae,Turbinaria,5,
96,Coral,Porites_rus,80,
96,Coral,Pocillopora_acuta,15,
96,Coral,Montipora,5,
96,Macroalgae,Turbinaria,25,
96,Macroalgae,Halimeda,20,
96,Macroalgae,Dictyota,50,
96,Macroalgae,Padina,5,
98,Coral,Montipora,50,
98,Coral,Porites_massive,30,
98,Coral,Pocillopora_acuta,5,
98,Coral,Porites_rus,10,
98,Coral,Pavona,5,
98,Macroalgae,Turbinaria,20,
98,Macroalgae,Dictyota,65,
98,Macroalgae,Halimeda,15,
108,Coral,Porites_massive,50,
108,Coral,Montipora,45,
108,Coral,Pocillopora,2,
108,Macroalgae,Dictyota,50,
108,Macroalgae,Halimeda,35,
108,Macroalgae,Turbinaria,5,
108,Macroalgae,Lobophora,2,
108,Macroalgae,Amansia,10,
109,Coral,Montipora,60,
109,Coral,Porites_massive,35,
109,Coral,Pavona,5,
109,Macroalgae,Turbinaria,20,
109,Macroalgae,Halimeda,45,
109,Macroalgae,Dictyota,25,
109,Macroalgae,Amansia,10,
110,Coral,Porites_rus,60,
110,Coral,Pocillopora_acuta,10,
110,Coral,Pavona,10,
110,Coral,Acropora_pulchra,20,
110,Macroalgae,Caulerpa,10,
110,Macroalgae,Halimeda,40,
110,Macroalgae,Dictyota,40,
110,Macroalgae,Padina,5,
110,Macroalgae,Turbinaria,5,
111,Coral,Porites_massive,45,
111,Coral,Montipora,45,
111,Coral,Acropora_pulchra,3,
111,Coral,Pocillopora,2,
111,Macroalgae,Halimeda,50,
111,Macroalgae,Turbinaria,25,
111,Macroalgae,Dictyota,25,
112,Coral,Porites_massive,40,
112,Coral,Montipora,60,
112,Macroalgae,Halimeda,20,
112,Macroalgae,Dictyota,50,
112,Macroalgae,Turbinaria,30,
113,Coral,Porites_rus,40,
113,Coral,Montipora,15,
113,Coral,Porites_massive,40,
113,Coral,Pocillopora_acuta,5,
113,Macroalgae,Halimeda,20,
113,Macroalgae,Dictyota,30,
113,Macroalgae,Turbinaria,5,
113,Macroalgae,Caulerpa,50,
114,Coral,Porites_massive,65,
114,Coral,Montipora,30,
114,Coral,Pocillopora,2,
114,Macroalgae,Turbinaria,25,
114,Macroalgae,Halimeda,50,
114,Macroalgae,Dictyota,25,
115,Coral,Porites_massive,40,
115,Coral,Montipora,60,
115,Macroalgae,Dictyota,50,
115,Macroalgae,Turbinaria,20,
115,Macroalgae,Jania,10,
115,Macroalgae,Halimeda,20,
116,Coral,Porites_massive,60,
116,Coral,Montipora,40,
116,Macroalgae,Turbinaria,20,
116,Macroalgae,Halimeda,25,
116,Macroalgae,Amansia,10,
116,Macroalgae,Dictyota,40,
116,Macroalgae,Sargassum,5,
117,Coral,Porites_massive,40,
117,Coral,Montipora,60,
117,Macroalgae,Turbinaria,20,
117,Macroalgae,Dictyota,35,
117,Macroalgae,Halimeda,40,
117,Macroalgae,Asparagopsis,5,
140,Coral,Porites_massive,70,
140,Coral,Montipora,25,
140,Coral,Pocillopora,5,
140,Macroalgae,Dictyota,5,
140,Macroalgae,Halimeda,5,
140,Macroalgae,Padina,10,
140,Macroalgae,Turbinaria,55,
140,Macroalgae,Sargassum,25,
141,Coral,Porites_massive,70,
141,Coral,Montipora,25,
141,Coral,Pocillopora,5,
141,Macroalgae,Turbinaria,65,
141,Macroalgae,Sargassum,25,
141,Macroalgae,Padina,5,
141,Macroalgae,Dictyota,5,
142,Coral,Porites_massive,80,
142,Coral,Montipora,20,
142,Macroalgae,Turbinaria,40,
142,Macroalgae,Sargassum,35,
142,Macroalgae,Padina,15,
142,Macroalgae,Dictyota,5,
142,Macroalgae,Halimeda,5,
143,Coral,Porites_massive,90,
143,Coral,Montipora,10,
143,Macroalgae,Turbinaria,50,
143,Macroalgae,Sargassum,30,
143,Macroalgae,Dictyota,10,
143,Macroalgae,Padina,10,
144,Coral,Porites_massive,70,
144,Coral,Montipora,30,
144,Macroalgae,Turbinaria,30,
144,Macroalgae,Sargassum,40,
144,Macroalgae,Padina,25,
144,Macroalgae,Dictyota,5,
145,Coral,Porites_rus,80,
145,Coral,Porites_massive,20,
145,Macroalgae,Turbinaria,40,
145,Macroalgae,Dictyota,35,
145,Macroalgae,Padina,20,
145,Macroalgae,Halimeda,5,
146,Coral,Porites_massive,75,
146,Coral,Montipora,20,
146,Coral,Pocillopora,2,
146,Macroalgae,Turbinaria,65,
146,Macroalgae,Dictyota,15,
146,Macroalgae,Sargassum,10,
146,Macroalgae,Halimeda,5,
146,Macroalgae,Padina,5,
147,Coral,Porites_massive,90,
147,Coral,Pocillopora,2,
147,Coral,Montipora,5,
147,Macroalgae,Sargassum,50,
147,Macroalgae,Turbinaria,40,
147,Macroalgae,Dictyota,5,
147,Macroalgae,Padina,5,
148,Coral,Porites_massive,50,
148,Coral,Montipora,40,
148,Coral,Pocillopora,10,
148,Macroalgae,Turbinaria,45,
148,Macroalgae,Sargassum,20,
148,Macroalgae,Dictyota,10,
148,Macroalgae,Padina,20,
148,Macroalgae,Halimeda,5,
149,Coral,Porites_massive,60,
149,Coral,Montipora,30,
149,Coral,Pocillopora,3,
149,Macroalgae,Turbinaria,50,
149,Macroalgae,Sargassum,35,
149,Macroalgae,Dictyota,10,
149,Macroalgae,Amansia,5,
150,Coral,Porites_massive,70,
150,Coral,Montipora,20,
150,Coral,Porites_rus,5,
150,Macroalgae,Turbinaria,50,
150,Macroalgae,Padina,40,
150,Macroalgae,Dictyota,10,
151,Coral,Porites_massive,80,
151,Coral,Montipora,15,
151,Coral,Pocillopora,2,
151,Macroalgae,Turbinaria,60,
151,Macroalgae,Sargassum,20,
151,Macroalgae,Dictyota,15,
151,Macroalgae,Padina,5,
152,Coral,Porites_massive,60,
152,Coral,Montipora,30,
152,Coral,Pocillopora,5,
152,Macroalgae,Turbinaria,50,
152,Macroalgae,Halimeda,10,
152,Macroalgae,Padina,25,
152,Macroalgae,Dictyota,10,
152,Macroalgae,Amansia,5,
153,Coral,Porites_massive,80,
153,Coral,Montipora,15,
153,Coral,Pocillopora,5,
153,Macroalgae,Turbinaria,40,
153,Macroalgae,Sargassum,40,
153,Macroalgae,Dictyota,10,
153,Macroalgae,Amansia,10,
154,Coral,Porites_massive,65,
154,Coral,Montipora,20,
154,Coral,Porites_rus,5,
154,Coral,Pocillopora,5,
154,Macroalgae,Turbinaria,50,
154,Macroalgae,Padina,30,
154,Macroalgae,Dictyota,10,
154,Macroalgae,Halimeda,10,
155,Coral,Porites_massive,80,
155,Coral,Porites_rus,5,
155,Coral,Acropora_pulchra,2,
155,Coral,Montipora,10,
155,Macroalgae,Turbinaria,60,
155,Macroalgae,Dictyota,15,
155,Macroalgae,Padina,10,
155,Macroalgae,Sargassum,5,
155,Macroalgae,Halimeda,10,
157,Coral,Porites_rus,70,
157,Coral,Porites_massive,15,
157,Coral,Montipora,10,
157,Macroalgae,Turbinaria,60,
157,Macroalgae,Padina,30,
157,Macroalgae,Dictyota,10,
160,Coral,Porites_massive,90,
160,Coral,Pocillopora,1,
160,Coral,Acropora,1,
160,Coral,Montipora,5,
160,Macroalgae,Turbinaria,60,
160,Macroalgae,Sargassum,20,
160,Macroalgae,Dictyota,20,
201,Coral,Porites_massive,70,
201,Coral,Montipora,25,
201,Coral,Pocillopora,3,
201,Macroalgae,Amansia,10,
201,Macroalgae,Turbinaria,50,
201,Macroalgae,Dictyota,30,
201,Macroalgae,Halimeda,10,
203,Coral,Montipora,95,
203,Macroalgae,Dictyota,40,
203,Macroalgae,Halimeda,30,
203,Macroalgae,Amphiroa,30,
204,Coral,Acropora_pulchra,65,
204,Coral,Porites_rus,25,
204,Coral,Montipora,5,
204,Coral,Pavona,3,
204,Macroalgae,Turbinaria,60,
204,Macroalgae,Dictyota,30,
204,Macroalgae,Padina,10,
206,Coral,Porites_massive,80,
206,Coral,Montipora,15,
206,Macroalgae,Padina,40,
206,Macroalgae,Dictyota,30,
206,Macroalgae,Halimeda,20,
206,Macroalgae,Turbinaria,10,
207,Coral,Porites_massive,60,
207,Coral,Porites_rus,25,
207,Coral,Montipora,10,
207,Coral,Pocillopora,5,
207,Macroalgae,Halimeda,60,
207,Macroalgae,Turbinaria,30,
207,Macroalgae,Amansia,10,
208,Coral,Porites_rus,75,
208,Coral,Montipora,10,
208,Coral,Pavona,2,
208,Coral,Pocillopora_acuta,3,
208,Coral,Acropora_pulchra,10,
208,Macroalgae,Turbinaria,60,
208,Macroalgae,Dictyota,30,
208,Macroalgae,Halimeda,5,
208,Macroalgae,Caulerpa,5,
209,Coral,Porites_rus,70,
209,Coral,Montipora,15,
209,Coral,Pocillopora_acuta,5,
209,Coral,Pavona,5,
209,Coral,Porites_massive,5,
209,Macroalgae,Turbinaria,5,
209,Macroalgae,Dictyota,60,
209,Macroalgae,Halimeda,35,
CG1,Coral,Porites_massive,55,
CG1,Coral,Montipora,35,
CG1,Coral,Pocillopora,3,
CG1,Coral,Porites_rus,5,
CG1,Macroalgae,Dictyota,40,
CG1,Macroalgae,Turbinaria,40,
CG1,Macroalgae,Halimeda,20,
LTER_3_Backreef,Coral,Porites_massive,55,
LTER_3_Backreef,Coral,Montipora,35,
LTER_3_Backreef,Coral,Pocillopora,5,
LTER_3_Backreef,Macroalgae,Dictyota,45,
LTER_3_Backreef,Macroalgae,Turbinaria,45,
LTER_3_Backreef,Macroalgae,Halimeda,10,
LTER_3_Fringe,Coral,Acropora_pulchra,60,
LTER_3_Fringe,Coral,Porites_rus,30,
LTER_3_Fringe,Coral,Montipora,10,
LTER_3_Fringe,Macroalgae,Dictyota,40,
LTER_3_Fringe,Macroalgae,Halimeda,30,
LTER_3_Fringe,Macroalgae,Turbinaria,30,
